video_id,titulo,status,timestamp
Ds3TUBQXBwQ,Estude com Exercícios: A Chave do Progresso e Prazer #shorts,DRY_RUN,2026-06-12T16:59:12.022043+00:00
iC9dmWpH2l0,#estudos #concurso #concursos,DRY_RUN,2026-06-12T16:59:12.608434+00:00
UK0RqBPHjs0,Uma meta de cada vez 🙏🙏#concurso #concursopublico #estudos,DRY_RUN,2026-06-12T16:59:13.216934+00:00
9D1Yrlpm3kA,Estude 3 Horas TODO DIA: Elimine Barreiras e Procrastinação Já! #shorts,DRY_RUN,2026-06-12T16:59:13.828821+00:00
v3kUD6HEP7E,Conhece alguém assim? #estudos #concursos,DRY_RUN,2026-06-12T16:59:14.428618+00:00
y0bHlldAeYI,"Só quem vive, sabe 🤡🤡#concurso #concursopublico #estudos",DRY_RUN,2026-06-12T16:59:15.009400+00:00
v-dBuv-KPB4,#monsterenergy #estudos #disciplina,DRY_RUN,2026-06-12T16:59:15.598916+00:00
wi_iKmt2hpU,Banco do Brasil: O que Separou os PRIMEIROS APROVADOS do Resto?,DRY_RUN,2026-06-12T16:59:16.196305+00:00
qpfT6Mfe0Jk,Descobriu!! #concursopublico #estudos #concurso,DRY_RUN,2026-06-12T16:59:16.791171+00:00
yPZGro12Aow,"Ou eu sei tudo, ou eu vou cair em todas as pegadinhas",DRY_RUN,2026-06-12T16:59:17.387263+00:00
HNwP8djOGk8,Cade a tropa do “estudo todo dia?” 👀 #concursos #estudos #concursospúblicos,DRY_RUN,2026-06-12T16:59:17.984734+00:00
4SUWt-fE06Q,#estudos #concurso,DRY_RUN,2026-06-12T16:59:18.572999+00:00
laFrV37_UAc,É raro mas acontece sempre 😂😂 #concurso #estudos #concursopublico,DRY_RUN,2026-06-12T16:59:19.170349+00:00
PtVdnzTGxR4,"Vai la bobo, troca na hora de passar pro gabarito kkkk #concursospúblicos #concurso",DRY_RUN,2026-06-12T16:59:19.760313+00:00
-PspgYLBXwQ,Eu motivando meus amigos: #concurso #concursopublico #estudos,DRY_RUN,2026-06-12T16:59:20.361465+00:00
23rXSgMv_hk,Massa demais #estudos #concurso #concursopublico,DRY_RUN,2026-06-12T16:59:20.956818+00:00
3nHrgfXmF6M,Explicação nos comentários! #concursos #estudos,DRY_RUN,2026-06-12T16:59:21.558810+00:00
0T0vI_OMyOE,Só pode rir quem nunca fez kkkk #concursospúblicos #concurso,DRY_RUN,2026-06-12T16:59:22.157226+00:00
_Kg3zmYk5mk,Como memorizar melhor a matéria? #concursos,DRY_RUN,2026-06-12T16:59:22.759921+00:00
Z57M0yjLkOw,Esperando o dia que vou estudar por amor 😂😂😂 #concursos #estudos,DRY_RUN,2026-06-12T16:59:23.349025+00:00
z7SzoelQ_dE,#concurso #estudos #concursopublico,DRY_RUN,2026-06-12T16:59:23.934671+00:00
1FyR9XNfWOA,Daqui cinco anos vai falar que em 2025 era mais fácil 😅😅 #concursos #concursopublico,DRY_RUN,2026-06-12T16:59:24.528926+00:00
TeQIML3peUQ,Ai fica difícil mesmo 😂😂 #concursos #estudos,DRY_RUN,2026-06-12T16:59:25.128514+00:00
K6WqX3rEhvc,Fica esperando apoio dos outros pra você ver 🫠,DRY_RUN,2026-06-12T16:59:25.732305+00:00
I52e_DkWwE0,😅😅 #concurso #estudos #concursopublico,DRY_RUN,2026-06-12T16:59:26.322492+00:00
dFgd4ZkKN4g,#concurso #estudos #concursopublico,DRY_RUN,2026-06-12T16:59:26.922487+00:00
grMiwvJ1Dkg,Estudar Viciante: Intervalos Inteligentes Para Maximizar Seu Foco #shorts,DRY_RUN,2026-06-12T16:59:27.518822+00:00
4EBW5tU0TBY,#concurso #estudos #concursopublico,DRY_RUN,2026-06-12T16:59:28.132997+00:00
BVmR5oY0gwk,"Revisão Rápida: Estude Menos, Aprenda Mais com Memória Ativa! #shorts",DRY_RUN,2026-06-12T16:59:28.725780+00:00
sM7N28xPNAs,Sem chorar é o mais difícil #concursos #estudos,DRY_RUN,2026-06-12T16:59:29.332408+00:00
PIedeS-4lpw,Transformação Financeira Rápida com Concursos Bancários #shorts,DRY_RUN,2026-06-12T16:59:29.934093+00:00
_x0_0vPRoNM,Ser bom leva tempo. Confia no processo e não se deixe abalar por quem não viveu sua luta. #estudos,DRY_RUN,2026-06-12T16:59:30.523032+00:00
rlqiZESmetA,"A meta começa no sonho, mas só sobrevive no compromisso. Bora estudar!! #concursospúblicos #concurso",DRY_RUN,2026-06-12T16:59:31.120400+00:00
utn8Fd0pdOE,As três ficavam colocadas em posts-its no meu monitor quando eu estudava para concursos #concursos,DRY_RUN,2026-06-12T16:59:31.722502+00:00
-Uw_7MkhbDo,Não dependa de motivação!! #estudos #concurso,DRY_RUN,2026-06-12T16:59:32.310434+00:00
sv1ujJ0n_Cc,Concurso do Banco do Brasil: Vagas e Locais de prova,DRY_RUN,2026-06-12T16:59:32.898877+00:00
tG89fKhFilI,"Não entendi, doutor kkkkk",DRY_RUN,2026-06-12T16:59:33.504920+00:00
H2XXGms-iUY,“E aí já passou” ?? 🫠,DRY_RUN,2026-06-12T16:59:34.090811+00:00
dXcnI62iMFw,Dicas de estudo para o concurso do Banco do Brasil! #concursos #concursospúblicos,DRY_RUN,2026-06-12T16:59:34.682342+00:00
a-oDzY027wg,Como eu abaixei minha ansiedade nos estudos para concursos,DRY_RUN,2026-06-12T16:59:35.286667+00:00
bh1Ww_kADnc,Concurso Banco do Brasil: Quantidade de Vagas e Data do Edital,DRY_RUN,2026-06-12T16:59:35.875120+00:00
YRPQZQNisSY,Vamos cuidar da nossa saúde mental!! #concursos #estudos,DRY_RUN,2026-06-12T16:59:36.478875+00:00
DnRA66YJrms,Revisão Ativa: O Segredo Para Memorização Duradoura #shorts,DRY_RUN,2026-06-12T16:59:37.069713+00:00
4EI640FohBE,O Concurso do Banco do Brasil segue sendo a melhor oportunidade de nível médio para o ano de 2025!,DRY_RUN,2026-06-12T16:59:37.668712+00:00
hNwcHbqw7rU,Como Estudar Sem Perder a Concentração,DRY_RUN,2026-06-12T16:59:38.260836+00:00
-zyvi65JXDA,O próximo concurso do Banco do Brasil promete muitas vagas! #concursos,DRY_RUN,2026-06-12T16:59:38.863667+00:00
1SJpZo5Qkm8,Concurso Banco do Brasil: O EDITAL FOI ADIADO POR CAUSA DA BANCA?,DRY_RUN,2026-06-12T16:59:39.461636+00:00
RbW2OrFb9ec,Concurso Banco do Brasil: Comece AGORA e Garanta sua Aprovação! #shorts,DRY_RUN,2026-06-12T16:59:40.044334+00:00
sKL4HUsNZ08,Dá tempo de começar a estudar agora para o concurso do Banco do Brasil?,DRY_RUN,2026-06-12T16:59:40.648958+00:00
YgxI-R-djvg,Conquiste sua Aprovação Rápida em Concursos Públicos #shorts,DRY_RUN,2026-06-12T16:59:41.236708+00:00
